,href,title,valor_monetario,nome_time,id_time,temporada
334,/fc-fulham/kader/verein/931/saison_id/2020,FC Fulham,€ 239.75 mi.,fc-fulham,931,20/21
335,/leeds-united-fc/kader/verein/399/saison_id/2020,Leeds United FC,€ 238.10 mi.,leeds-united-fc,399,20/21
336,/crystal-palace-fc/kader/verein/873/saison_id/2020,Crystal Palace FC,€ 193.85 mi.,crystal-palace-fc,873,20/21
337,/sheffield-united/kader/verein/350/saison_id/2020,Sheffield United,€ 149.85 mi.,sheffield-united,350,20/21
338,/west-bromwich-albion/kader/verein/984/saison_id/2020,West Bromwich Albion,€ 141.15 mi.,west-bromwich-albion,984,20/21
339,/fc-burnley/kader/verein/1132/saison_id/2020,FC Burnley,€ 132.30 mi.,fc-burnley,1132,20/21
340,/manchester-city-fc/kader/verein/281/saison_id/2021,Manchester City FC,€ 1.00 bilhões,manchester-city-fc,281,21/22
341,/fc-liverpool/kader/verein/31/saison_id/2021,FC Liverpool,€ 918.90 mi.,fc-liverpool,31,21/22
342,/chelsea-fc/kader/verein/631/saison_id/2021,Chelsea FC,€ 914.50 mi.,chelsea-fc,631,21/22
343,/manchester-united-fc/kader/verein/985/saison_id/2021,Manchester United FC,€ 769.15 mi.,manchester-united-fc,985,21/22
344,/tottenham-hotspur/kader/verein/148/saison_id/2021,Tottenham Hotspur,€ 689.35 mi.,tottenham-hotspur,148,21/22
345,/fc-arsenal/kader/verein/11/saison_id/2021,FC Arsenal,€ 613.05 mi.,fc-arsenal,11,21/22
346,/leicester-city-fc/kader/verein/1003/saison_id/2021,Leicester City FC,€ 526.55 mi.,leicester-city-fc,1003,21/22
347,/aston-villa-fc/kader/verein/405/saison_id/2021,Aston Villa FC,€ 487.75 mi.,aston-villa-fc,405,21/22
348,/fc-everton/kader/verein/29/saison_id/2021,FC Everton,€ 479.05 mi.,fc-everton,29,21/22
349,/wolverhampton-wanderers/kader/verein/543/saison_id/2021,Wolverhampton Wanderers,€ 376.95 mi.,wolverhampton-wanderers,543,21/22
350,/west-ham-united/kader/verein/379/saison_id/2021,West Ham United,€ 354.90 mi.,west-ham-united,379,21/22
351,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2021,Brighton & Hove Albion,€ 318.00 mi.,brighton-amp-hove-albion,1237,21/22
352,/newcastle-united/kader/verein/762/saison_id/2021,Newcastle United,€ 313.90 mi.,newcastle-united,762,21/22
353,/leeds-united-fc/kader/verein/399/saison_id/2021,Leeds United FC,€ 299.45 mi.,leeds-united-fc,399,21/22
354,/fc-southampton/kader/verein/180/saison_id/2021,FC Southampton,€ 274.30 mi.,fc-southampton,180,21/22
355,/brentford-fc/kader/verein/1148/saison_id/2021,Brentford FC,€ 273.30 mi.,brentford-fc,1148,21/22
356,/crystal-palace-fc/kader/verein/873/saison_id/2021,Crystal Palace FC,€ 271.05 mi.,crystal-palace-fc,873,21/22
357,/norwich-city/kader/verein/1123/saison_id/2021,Norwich City,€ 163.20 mi.,norwich-city,1123,21/22
358,/fc-watford/kader/verein/1010/saison_id/2021,FC Watford,€ 156.20 mi.,fc-watford,1010,21/22
359,/fc-burnley/kader/verein/1132/saison_id/2021,FC Burnley,€ 137.85 mi.,fc-burnley,1132,21/22
360,/manchester-city-fc/kader/verein/281/saison_id/2022,Manchester City FC,€ 1.15 bilhões,manchester-city-fc,281,22/23
361,/fc-arsenal/kader/verein/11/saison_id/2022,FC Arsenal,€ 1.00 bilhões,fc-arsenal,11,22/23
362,/chelsea-fc/kader/verein/631/saison_id/2022,Chelsea FC,€ 994.95 mi.,chelsea-fc,631,22/23
363,/manchester-united-fc/kader/verein/985/saison_id/2022,Manchester United FC,€ 847.75 mi.,manchester-united-fc,985,22/23
364,/fc-liverpool/kader/verein/31/saison_id/2022,FC Liverpool,€ 811.85 mi.,fc-liverpool,31,22/23
365,/tottenham-hotspur/kader/verein/148/saison_id/2022,Tottenham Hotspur,€ 649.10 mi.,tottenham-hotspur,148,22/23
366,/newcastle-united/kader/verein/762/saison_id/2022,Newcastle United,€ 541.60 mi.,newcastle-united,762,22/23
367,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2022,Brighton & Hove Albion,€ 529.80 mi.,brighton-amp-hove-albion,1237,22/23
368,/aston-villa-fc/kader/verein/405/saison_id/2022,Aston Villa FC,€ 509.55 mi.,aston-villa-fc,405,22/23
369,/wolverhampton-wanderers/kader/verein/543/saison_id/2022,Wolverhampton Wanderers,€ 497.65 mi.,wolverhampton-wanderers,543,22/23
370,/leicester-city-fc/kader/verein/1003/saison_id/2022,Leicester City FC,€ 490.70 mi.,leicester-city-fc,1003,22/23
371,/west-ham-united/kader/verein/379/saison_id/2022,West Ham United,€ 465.60 mi.,west-ham-united,379,22/23
372,/fc-southampton/kader/verein/180/saison_id/2022,FC Southampton,€ 419.95 mi.,fc-southampton,180,22/23
373,/fc-everton/kader/verein/29/saison_id/2022,FC Everton,€ 413.15 mi.,fc-everton,29,22/23
374,/nottingham-forest/kader/verein/703/saison_id/2022,Nottingham Forest,€ 376.25 mi.,nottingham-forest,703,22/23
375,/brentford-fc/kader/verein/1148/saison_id/2022,Brentford FC,€ 371.20 mi.,brentford-fc,1148,22/23
376,/leeds-united-fc/kader/verein/399/saison_id/2022,Leeds United FC,€ 345.15 mi.,leeds-united-fc,399,22/23
377,/crystal-palace-fc/kader/verein/873/saison_id/2022,Crystal Palace FC,€ 323.05 mi.,crystal-palace-fc,873,22/23
378,/fc-fulham/kader/verein/931/saison_id/2022,FC Fulham,€ 295.10 mi.,fc-fulham,931,22/23
379,/afc-bournemouth/kader/verein/989/saison_id/2022,AFC Bournemouth,€ 287.20 mi.,afc-bournemouth,989,22/23
380,/manchester-city-fc/kader/verein/281/saison_id/2023,Manchester City FC,€ 1.46 bilhões,manchester-city-fc,281,23/24
381,/fc-arsenal/kader/verein/11/saison_id/2023,FC Arsenal,€ 1.20 bilhões,fc-arsenal,11,23/24
382,/chelsea-fc/kader/verein/631/saison_id/2023,Chelsea FC,€ 1.01 bilhões,chelsea-fc,631,23/24
383,/fc-liverpool/kader/verein/31/saison_id/2023,FC Liverpool,€ 955.65 mi.,fc-liverpool,31,23/24
384,/tottenham-hotspur/kader/verein/148/saison_id/2023,Tottenham Hotspur,€ 838.50 mi.,tottenham-hotspur,148,23/24
385,/manchester-united-fc/kader/verein/985/saison_id/2023,Manchester United FC,€ 808.35 mi.,manchester-united-fc,985,23/24
386,/aston-villa-fc/kader/verein/405/saison_id/2023,Aston Villa FC,€ 709.65 mi.,aston-villa-fc,405,23/24
387,/newcastle-united/kader/verein/762/saison_id/2023,Newcastle United,€ 652.25 mi.,newcastle-united,762,23/24
388,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023,Brighton & Hove Albion,€ 524.40 mi.,brighton-amp-hove-albion,1237,23/24
389,/nottingham-forest/kader/verein/703/saison_id/2023,Nottingham Forest,€ 501.35 mi.,nottingham-forest,703,23/24
390,/west-ham-united/kader/verein/379/saison_id/2023,West Ham United,€ 487.50 mi.,west-ham-united,379,23/24
